t,ax,ay,az,gx,gy,gz,mx,my,mz,temp,src
4.24905,-4.37694,0.72273,13.53519,-71.31522,204.54775,36.96551,-2.63878,-13.96439,-42.46644,28.81055,comp
4.27310,-4.49101,2.50398,11.79886,-44.87772,208.94228,46.63738,-4.12218,-10.44486,-43.72230,28.80664,comp
4.29121,-4.17436,3.21590,13.73734,13.71603,195.80947,38.40301,-3.78404,-6.25345,-44.18641,28.81055,comp
4.31309,-3.90166,3.28816,14.94046,66.96603,173.91885,34.36785,-4.16759,-4.15775,-44.21584,28.82422,comp
4.32891,-3.81493,2.51229,13.57523,118.43478,148.35635,24.76629,-2.69298,-3.09818,-45.86721,28.81641,comp
4.35298,-3.12645,2.48139,13.91238,204.99728,116.55947,12.62566,-0.88927,-1.74661,-43.88479,28.82227,comp
4.36897,-1.70067,3.52143,16.76395,229.90353,58.21572,24.75066,1.65761,0.32174,-43.54079,28.82812,comp
4.39375,-2.73680,4.66107,14.08035,243.06760,9.37197,82.78191,4.96425,-0.40091,-43.56835,28.74414,comp
4.40886,-6.19774,4.86078,12.76688,291.31760,-21.22178,132.37566,7.89198,-0.07987,-43.20507,28.78320,comp
4.44936,-9.24266,0.25531,12.98355,327.13010,-36.66709,81.84441,11.55995,-1.87674,-41.59570,28.80078,comp
4.45716,-7.66844,-0.33551,10.73160,342.48947,-26.87803,-9.03059,18.86854,-2.68338,-38.02734,28.79883,comp
4.47302,-4.72899,1.49066,10.86771,349.70432,-23.63389,-63.56184,19.97792,-3.73807,-38.02201,28.77148,comp
4.49696,-1.47313,2.42182,6.23099,370.39182,-16.66514,-56.18293,25.43495,-3.14188,-34.04545,28.78516,comp
4.51311,-2.16063,4.09271,6.32059,409.86057,-15.62608,-14.80793,29.06190,-2.52469,-30.46537,28.77539,comp
4.53716,-4.93602,5.24506,4.83914,399.97775,-31.96983,26.06707,34.11659,-3.39139,-21.62943,28.80469,comp
4.55308,-6.08543,5.41181,3.57938,420.72775,-33.86143,12.64520,36.65761,-3.45200,-18.83256,28.73242,comp
4.57694,-4.46239,5.09613,3.53561,427.47385,-38.27158,-49.44855,38.43300,-3.55405,-12.79740,28.75586,comp
4.59812,-1.93895,6.61371,2.88034,409.56760,-39.71690,-60.77668,42.02089,-3.34604,-5.16850,28.75195,comp
4.61702,-6.07176,5.23871,1.71042,414.38791,-45.81846,-43.32355,42.66151,-3.84213,4.51900,28.72461,comp
4.63304,-6.16515,5.87250,-0.99857,401.08322,-45.94053,-48.93684,42.59541,-2.17417,9.73775,28.79688,comp
4.65699,-7.12266,7.62836,-2.13138,405.96213,-22.75303,-70.90559,39.60127,-1.88535,15.41744,28.76562,comp
4.67288,-5.64453,4.10622,-2.34252,426.78076,-18.43953,-96.70610,37.31569,0.83561,21.86645,28.74805,full
4.70097,-3.75586,2.54860,-1.55492,423.91357,-29.48640,-110.31548,33.96022,1.48844,26.74536,28.78320,comp
4.71294,-4.51025,1.41481,-3.42894,385.78857,-60.78328,-96.76860,29.82741,3.13981,35.22973,28.76758,comp
4.73693,-2.83545,2.73805,-1.97777,343.00732,-95.62703,-50.01860,27.21022,6.26481,37.62231,28.74219,comp
4.75303,-9.31982,1.18825,-3.55101,275.38232,-127.78328,14.79390,21.66335,8.01090,40.48364,28.76562,comp
